known_error_id,cause_family,applies_to_entity_id,compatible_entity_type,symptom_category,trigger_metric_id,breach_direction,onset_shape,recommended_action,base_remediation_efficacy,base_recurrence_probability,knowledge_status,trust_level,valid_from,valid_to,data_classification
KE-0001,CONFIGURATION_DRIFT,COMP-0026,SOFTWARE_COMPONENT,authentication failure,authentication_failure_rate,UP,STEP,RESTORE_GOVERNED_CONFIGURATION,0.88,0.08,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0002,CAPACITY_EXHAUSTION,CLOUD-0003,CLOUD_RESOURCE,request timeout,request_timeout_rate,UP,GRADUAL,SCALE_CAPACITY,0.91,0.07,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0003,CERTIFICATE_EXPIRY,COMP-0011,SOFTWARE_COMPONENT,request timeout,authentication_failure_rate,UP,PERIODIC,ROTATE_CERTIFICATE,0.97,0.02,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0004,IDENTITY_DEGRADATION,VENDOR-0004,EXTERNAL_VENDOR_SERVICE,authentication failure,transaction_failure_rate,UP,BURST,RESTORE_IDENTITY_DEPENDENCY,0.9,0.05,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0005,NETWORK_PATH_DEGRADATION,INFRA-0001,SHARED_INFRASTRUCTURE,latency increase,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0006,EXTERNAL_VENDOR_OUTAGE,VENDOR-0004,EXTERNAL_VENDOR_SERVICE,connection failure,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0007,SOFTWARE_REGRESSION,COMP-0008,SOFTWARE_COMPONENT,transaction failure,transaction_failure_rate,UP,GRADUAL,ROLLBACK_RELEASE,0.94,0.04,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0008,DATA_STORE_CONTENTION,DATA-0010,DATA_STORE,transaction failure,transaction_failure_rate,UP,PERIODIC,TERMINATE_BLOCKING_WORKLOAD,0.84,0.15,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0009,QUEUE_BACKLOG,DATA-0006,DATA_STORE,service degradation,queue_depth,UP,BURST,SCALE_CONSUMERS,0.89,0.1,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0010,SECURE_GATEWAY_POLICY,POL-0002,POLICY_OR_CREDENTIAL,authentication failure,connection_failure_rate,UP,POST_CHANGE_STEP,ROLLBACK_GATEWAY_POLICY,0.95,0.03,PUBLISHED,CONDITIONAL,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0011,CONFIGURATION_DRIFT,POL-0004,POLICY_OR_CREDENTIAL,transaction failure,authentication_failure_rate,UP,STEP,RESTORE_GOVERNED_CONFIGURATION,0.88,0.08,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0012,CAPACITY_EXHAUSTION,DATA-0010,DATA_STORE,service degradation,request_timeout_rate,UP,GRADUAL,SCALE_CAPACITY,0.91,0.07,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0013,CERTIFICATE_EXPIRY,POL-0004,POLICY_OR_CREDENTIAL,authentication failure,authentication_failure_rate,UP,PERIODIC,ROTATE_CERTIFICATE,0.97,0.02,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0014,IDENTITY_DEGRADATION,VENDOR-0001,EXTERNAL_VENDOR_SERVICE,transaction failure,transaction_failure_rate,UP,BURST,RESTORE_IDENTITY_DEPENDENCY,0.9,0.05,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0015,NETWORK_PATH_DEGRADATION,INFRA-0002,SHARED_INFRASTRUCTURE,request timeout,connection_failure_rate,UP,POST_CHANGE_STEP,REROUTE_TRAFFIC,0.86,0.12,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
KE-0016,EXTERNAL_VENDOR_OUTAGE,VENDOR-0001,EXTERNAL_VENDOR_SERVICE,service degradation,connection_failure_rate,UP,STEP,WAIT_AND_FAILOVER,0.82,0.14,PUBLISHED,TRUSTED,2023-01-01T00:00:00+00:00,,SYNTHETIC
