entity_id,entity_type,name,region,business_unit,criticality,service_provider_type,trust_level,lifecycle_status,data_classification
BO-0001,BUSINESS_OUTCOME,Business Outcome 0001,GLOBAL,Corporate,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0002,BUSINESS_OUTCOME,Business Outcome 0002,GLOBAL,Security,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0003,BUSINESS_OUTCOME,Business Outcome 0003,GLOBAL,Support,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0004,BUSINESS_OUTCOME,Business Outcome 0004,GLOBAL,Support,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0005,BUSINESS_OUTCOME,Business Outcome 0005,GLOBAL,Support,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0006,BUSINESS_OUTCOME,Business Outcome 0006,GLOBAL,Legal,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0007,BUSINESS_OUTCOME,Business Outcome 0007,GLOBAL,Engineering,LOW,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0008,BUSINESS_OUTCOME,Business Outcome 0008,GLOBAL,Supply Chain,MEDIUM,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0009,BUSINESS_OUTCOME,Business Outcome 0009,GLOBAL,Finance,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0010,BUSINESS_OUTCOME,Business Outcome 0010,GLOBAL,HR,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0011,BUSINESS_OUTCOME,Business Outcome 0011,GLOBAL,Supply Chain,LOW,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
BO-0012,BUSINESS_OUTCOME,Business Outcome 0012,GLOBAL,HR,CRITICAL,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0013,BUSINESS_OUTCOME,Business Outcome 0013,GLOBAL,Sales,CRITICAL,INTERNAL,CONDITIONAL,ACTIVE,SYNTHETIC
BO-0014,BUSINESS_OUTCOME,Business Outcome 0014,GLOBAL,Corporate,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
BO-0015,BUSINESS_OUTCOME,Business Outcome 0015,GLOBAL,Supply Chain,HIGH,INTERNAL,TRUSTED,ACTIVE,SYNTHETIC
